KANAL;SATELIT;POLARIZACIJA;STUPNJEVI;FREKVENCIJA;SID;PAKET;DVB;MODULACIJA;SYMBOL_RATE;FEC;TID;ONID;ENKRIPCIJA;TIP
RTL Nordrhein Westfalen  18h-18h30 CET 18h-18h30 CET;Astra 1L;H;19.2°E;12187.50;12004;CBC;DVB-S;QPSK;"""3/4""";27500;TID:1089;NID:1;Clear;tv
RTL Living  ;Astra 1N;H;19.2°E;11082.25;11971;Sky Deutschland;DVB-S2;8PSK;"""3/4""";22000;TID:1041;NID:1;VideoGuard;tv
RTL 2 Hungary;Thor 6;V;0.8°W;12111.00;31212;Digi TVFocus SatUPC Direct;DVB-S;QPSK;"""7/8""";28000;TID:712;NID:1536;ConaxCryptoworksIrdeto 2Nagravision 3;tv
RTL 102.5  ;Hot Bird 13E;V;13.0°E;11623.00;10704;GlobeCast;DVB-S;QPSK;"""3/4""";27500;TID:15600;NID:318;Clear;tv
RTL Klub  ;Amos 3;V;4.0°W;10759.00;1201;T-Home;DVB-S2;8PSK;"""3/4""";30000;TID:2;NID:100;Conax;tv
Club RTL;Hot Bird 13C;H;13.0°E;10930.00;16914;MobistarTV Vlaanderen;DVB-S2;8PSK;"""2/3""";30000;TID:12100;NID:318;Mediaguard 3Nagravision 3Viaccess 5.0;tv
Super RTL Österreich  ;Astra 1L;H;19.2°E;12226.50;28815;RTL;DVB-S;QPSK;"""3/4""";27500;TID:1091;NID:1;Clear;tv
RTL Nitro Austria  ;Astra 1N;H;19.2°E;12662.75;13102;RTL;DVB-S;QPSK;"""5/6""";22000;TID:1115;NID:1;Clear;tv
RTL Kockica;Eutelsat 16A;H;16.0°E;11512.25;21;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:1;NID:64;ConaxNagravision 3;tv
RTL 102.5 TV HD;Hot Bird 13E;H;13.0°E;11642.00;1307;M-Three satcom;DVB-S2;8PSK;"""3/4""";27500;TID:15700;NID:318;Clear;tv
RTL Living Croatia;Eutelsat 16A;H;16.0°E;11512.25;20;Max TV;DVB-S2;8PSK;"""3/4""";30000;TID:1;NID:64;Nagravision 3;tv
RTL 9  ;Eutelsat 5 West A;V;5.0°W;11512.00;201;Bis;DVB-S2;8PSK;"""3/4""";29950;TID:20200;NID:1375;Viaccess 4.0;tv
RTL Spike;Amos 2;V;4.0°W;10925.50;1513;T-Home;DVB-S2;8PSK;"""3/4""";30000;TID:5;NID:100;Conax;tv
Nordliicht TV  Sundays 13h-14h CET;Astra 3B;V;23.5°E;12168.00;5240;SES ASTRA;DVB-S;QPSK;"""3/4""";27500;TID:3224;NID:3;Clear;tv
RTL 2 HD Hungary;Amos 3;V;4.0°W;10806.00;1408;T-Home;DVB-S2;8PSK;"""3/4""";30000;TID:4;NID:100;Conax;tv
RTL GROOVE (radio);Hot Bird 13E;V;13.0°E;11623.00;10754;GLOBECAST;DVB-S;QPSK;"""3/4""";27500;TID:15600;NID:318;Clear;radio
RTL HD;Astra 1KR;H;19.2°E;10832.25;61200;HD +Sky Deutschland;DVB-S2;8PSK;"""2/3""";22000;TID:1057;NID:1;Nagravision 3VideoGuard;tv
RTL 102.5 (radio);Eutelsat 12 West B;H;12.5°W;12718.00;221;Persidera;DVB-S2;;"""5/6""";36512;TID:516;NID:29;Clear;radio
RTL 2 Hungary;Astra 5B;V;31.5°E;12168.00;8713;Orange Romania;DVB-S2;8PSK;"""3/4""";30000;TID:5224;NID:167;Viaccess 5.0;tv
RTL Hrvatska  ;Eutelsat 16A;H;16.0°E;11386.75;1659;Total TV;DVB-S2;8PSK;"""3/5""";30000;TID:40900;NID:366;VideoGuard;tv
RTL 9 HD;Hot Bird 13C;H;13.0°E;12692.00;451;Bis;DVB-S2;8PSK;"""3/4""";27500;TID:9900;NID:319;Viaccess 4.0;tv
RTL 102.5   (radio);Hot Bird 13B;V;13.0°E;12149.00;M-Three satcom;Italy;DVB-S;QPSK;"""3/4""";27500;TID:7200;NID:318;Music;radio
RTL Klub  ;Hellas Sat 2;V;39.0°E;10971.00;275;Dolce TV;DVB-S;QPSK;"""7/8""";30000;TID:1;NID:28;VideoGuard;tv
RTL Bremen & Land Niedersachsen   18h-18h30 CET;Astra 1L;H;19.2°E;12187.50;12005;CBC;DVB-S;QPSK;"""3/4""";27500;TID:1089;NID:1;Clear;tv
